Position;step;solution;Set;raw;diff;logdiff;abwpro;logabwpro;diffsq;logdiffsq
Unknown;Evisceration;DS0200;S5;0.415875;0.181625;0.249283214;0.775346852;-0.110503972;0.032987641;0.062142121
Anal Swab;Classification;DS0200;S5;0.000875;0.000025;0.012234456;0.027777778;-1.556302501;6.25E-10;0.000149682
Classification (Gloves);Classification;DS0200;S5;0.052;0.012525;0.119681205;0.317289424;-0.498544404;0.000156876;0.014323591
Classification (Railing);Classification;DS0200;S5;0.14925;0.081875;0.189932584;0.354245538;-0.450695611;0.006703516;0.036074387
Cooling chamber (Wall_A);Classification;DS0200;S5;0.00075;0.0003;0.22184875;0.666666667;-0.176091259;0.00000009;0.049216868
Evisceration (Aprons);Classification;DS0200;S5;0.00925;0.003975;0.243919269;0.753554502;-0.122885331;1.58E-05;0.05949661
Evisceration (Gloves);Classification;DS0200;S5;0.02175;0.002725;0.058134596;0.143232589;-0.843958159;7.43E-06;0.003379631
Evisceration (Knifes);Classification;DS0200;S5;0.003;1.00E-04;0.014240439;0.032258065;-1.491361694;1.00E-08;0.00020279
Lock (Hands_A);Classification;DS0200;S5;0.004;0.0022;0.346787486;1.222222222;0.087150176;0.00000484;0.120261561
Lock (Shoes_A);Classification;DS0200;S5;0.00575;0.0002;0.015374862;0.036036036;-1.443262987;4.00E-08;0.000236386
Polishing tunnel (Nozzles);Classification;DS0200;S5;0.02625;0.005075;0.076761772;0.162011173;-0.790455033;2.58E-05;0.00589237
Polishing tunnel (Water);Classification;DS0200;S5;0.085875;0.0406;0.168137938;0.321012058;-0.493478655;0.00164836;0.028270366
Polishing tunnel (Whips);Classification;DS0200;S5;0.059625;0.066675;0.325974959;0.527909739;-0.277440326;0.004445556;0.106259674
Splitting saw;Classification;DS0200;S5;0.017;0.009925;0.380722477;1.402826855;0.147004071;9.85E-05;0.144949605
Sticking;Classification;DS0200;S5;0.01025;0.004525;0.252948374;0.790393013;-0.102156907;2.05E-05;0.06398288
Truck (Gloves);Classification;DS0200;S5;0.144875;0.0411;0.108461118;0.220997446;-0.655612746;0.00168921;0.011763814
Truck (Wall);Classification;DS0200;S5;0.004625;0.000275;0.02662248;0.063218391;-1.199156563;7.56E-08;0.000708756
Unknown;Classification;DS0200;S5;0.404875;0.1988;0.293295653;0.964697319;-0.015608928;0.03952144;0.08602234
Anal Swab;Truck;DS0200;S5;0.003125;0.002175;0.517126416;2.289473684;0.359735656;4.73E-06;0.267419731
Classification (Gloves);Truck;DS0200;S5;0.046125;0.0146;0.165281284;0.463124504;-0.334302239;0.00021316;0.027317903
Classification (Railing);Truck;DS0200;S5;0.112875;0.0857;0.245326808;0.431574972;-0.364943749;0.00734449;0.060185243
Cooling chamber (Wall_A);Truck;DS0200;S5;0.002;0.0007;0.187086643;0.538461538;-0.268845312;0.00000049;0.035001412
Evisceration (Aprons);Truck;DS0200;S5;0.021875;0.0044;0.097530877;0.251788269;-0.598964508;0.00001936;0.009512272
Evisceration (Gloves);Truck;DS0200;S5;0.015125;0.007925;0.322362887;1.100694444;0.041666774;6.28E-05;0.103917831
Evisceration (Knifes);Truck;DS0200;S5;0.010125;0.005925;0.382145741;1.410714286;0.149439064;3.51E-05;0.146035368
Lock (Hands_A);Truck;DS0200;S5;0.010875;0.00525;0.286306739;0.933333333;-0.029963223;2.76E-05;0.081971549
Lock (Shoes_A);Truck;DS0200;S5;0.00775;0.00215;0.141113676;0.383928571;-0.415749567;4.62E-06;0.019913069
Polishing tunnel (Nozzles);Truck;DS0200;S5;0.0215;0.006575;0.15852412;0.440536013;-0.356018583;4.32E-05;0.025129897
Polishing tunnel (Water);Truck;DS0200;S5;0.05575;0.0589;0.313129187;0.513737462;-0.289258764;0.00346921;0.098049888
Polishing tunnel (Whips);Truck;DS0200;S5;0.0425;0.022275;0.183018492;0.343882671;-0.463589709;0.000496176;0.033495768
Splitting saw;Truck;DS0200;S5;0.019;0.008975;0.27766922;0.895261845;-0.048049924;8.06E-05;0.077100196
Sticking;Truck;DS0200;S5;0.00825;0.00125;0.071355909;0.178571429;-0.748188027;1.56E-06;0.005091666
Truck (Gloves);Truck;DS0200;S5;0.0875;0.0589;0.223533024;0.402322404;-0.395425782;0.00346921;0.049967013
Truck (Wall);Truck;DS0200;S5;0.0035;0.0013;0.137173193;0.270833333;-0.567297885;0.00000169;0.018816485
Unknown;Truck;DS0200;S5;0.532125;0.16715;0.163750546;0.457976574;-0.339156736;0.027939123;0.026814241
Anal Swab;Singeing;DS0200;S6;0.00125;0.0009;0.235528447;0.418604651;-0.37819595;0.00000081;0.055473649
Classification (Gloves);Singeing;DS0200;S6;0.020625;0.00655;0.119775596;0.241030359;-0.617928253;4.29E-05;0.014346193
Classification (Railing);Singeing;DS0200;S6;0.06125;0.0223;0.134840361;0.266906044;-0.573641591;0.00049729;0.018181923
Cooling chamber (Wall_A);Singeing;DS0200;S6;0.0005;0.00035;0.522878745;2.333333333;0.367976785;1.23E-07;0.273402182
Evisceration (Aprons);Singeing;DS0200;S6;0.01275;0.0019;0.070080447;0.175115207;-0.756676137;0.00000361;0.004911269
Evisceration (Gloves);Singeing;DS0200;S6;0.010125;0.00025;0.010857928;0.025316456;-1.596597096;6.25E-08;0.000117895
Evisceration (Knifes);Singeing;DS0200;S6;0.0065;0.00145;0.109621979;0.287128713;-0.541923376;2.10E-06;0.012016978
Lock (Hands_A);Singeing;DS0200;S6;0.009125;0.00595;0.458489144;1.874015748;0.272773236;3.54E-05;0.210212295
Lock (Shoes_A);Singeing;DS0200;S6;0.003375;0.004025;0.340957943;0.543918919;-0.264465835;1.62E-05;0.116252319
Polishing tunnel (Nozzles);Singeing;DS0200;S6;0.011625;0.00445;0.209571056;0.620209059;-0.207461894;1.98E-05;0.043920028
Polishing tunnel (Water);Singeing;DS0200;S6;0.239;0.1588;0.221266878;0.399195576;-0.398814281;0.02521744;0.048959031
Polishing tunnel (Whips);Singeing;DS0200;S6;0.024375;0.0043;0.08428907;0.214196762;-0.669187098;0.00001849;0.007104647
Splitting saw;Singeing;DS0200;S6;0.009375;0.0024;0.128427064;0.344086022;-0.46333297;0.00000576;0.016493511
