Position;;all;200_01;200_02;200_03;200_04;200_05;200_06;200_07;200_08;200_09;200_10;mean200;stabw200;500_01;500_02;500_03;mean500;stabw500;1000_01;1000_02;1000_03;mean1000;stabw1000;5000_01;5000_02;5000_03;mean5000;stabw5000;7712_01;7712_02;7712_03;mean7712;stabw7712
Cooling chamber (Wall_A);Polishing;0.000175;0.00075;0.000625;0.001875;0.001125;0.001;0.002875;0.002;0.00175;0.000875;0.001;0.0013875;0.000713097;0.00025;0.00025;0.00035;0.000283333;5.77E-05;0.000075;0.0002;0.000125;0.000133333;6.29E-05;0.00025;0.000375;0.000275;0.0003;6.61E-05;0.0002;0.000125;0.000575;0.0003;0.000241091
Evisceration (Aprons);Polishing;0.0058;0.0105;0.011875;0.010875;0.008625;0.01725;0.0155;0.011625;0.01075;0.008625;0.008125;0.011375;0.002961559;0.00945;0.00575;0.00555;0.006916667;0.002196209;0.00475;0.004625;0.004075;0.004483333;0.000359108;0.009125;0.007425;0.005525;0.007358333;0.001800926;0.0061;0.004425;0.00545;0.005325;0.000844467
Evisceration (Gloves);Polishing;0.008875;0.009625;0.01275;0.01275;0.0115;0.02625;0.018875;0.014125;0.008375;0.01125;0.014;0.01395;0.005180492;0.01005;0.00775;0.0077;0.0085;0.001342572;0.00705;0.005375;0.006225;0.006216667;0.000837531;0.010675;0.00865;0.007875;0.009066667;0.001445755;0.00915;0.00705;0.0095;0.008566667;0.001325079
Evisceration (Knifes);Polishing;0.0028;0.003125;0.00575;0.0025;0.0055;0.0065;0.008;0.007;0.003875;0.002625;0.002125;0.0047;0.002110819;0.00325;0.00255;0.00295;0.002916667;0.000351188;0.00205;0.0022;0.00165;0.001966667;0.000284312;0.00295;0.002475;0.00295;0.002791667;0.000274241;0.001825;0.00235;0.002425;0.0022;0.000326917
Lock (Hands_A);Polishing;0.001075;0.002625;0.003625;0.002;0.003;0.003125;0.002;0.00425;0.001875;0.0025;0.002125;0.0027125;0.000786276;0.00175;0.00095;0.00105;0.00125;0.00043589;0.001025;0.001125;0.001075;0.001075;5.00E-05;0.00095;0.001075;0.001325;0.001116667;0.000190941;0.000825;0.001875;0.0015;0.0014;0.000532095
Lock (Shoes_A);Polishing;0.004075;0.005625;0.00525;0.007625;0.00475;0.004125;0.004;0.00475;0.009625;0.004;0.004375;0.0054125;0.001835274;0.00425;0.0055;0.00625;0.005333333;0.001010363;0.003775;0.004075;0.004675;0.004175;0.000458258;0.003925;0.0051;0.00395;0.004325;0.000671286;0.003375;0.003775;0.00515;0.0041;0.000931061
Polishing tunnel (Nozzles);Polishing;0.0293;0.0235;0.030875;0.032;0.036125;0.022375;0.023375;0.024375;0.03775;0.014;0.032;0.0276375;0.007321593;0.02735;0.0181;0.019;0.021483333;0.005100572;0.02015;0.016825;0.02205;0.019675;0.002644688;0.023875;0.0238;0.01895;0.022208333;0.002822049;0.01545;0.0219;0.022225;0.019858333;0.003821185
Polishing tunnel (Water);Polishing;0.200175;0.11325;0.133625;0.122;0.096875;0.10475;0.120625;0.134;0.12;0.11525;0.095875;0.115625;0.013383629;0.1669;0.1624;0.16025;0.163183333;0.003393499;0.177425;0.18665;0.190325;0.1848;0.006646004;0.179625;0.169525;0.182075;0.177075;0.006652255;0.166425;0.196125;0.1953;0.18595;0.016914177
Polishing tunnel (Whips);Polishing;0.1609;0.099;0.10825;0.108625;0.081125;0.06825;0.10475;0.103125;0.085875;0.07575;0.129125;0.0963875;0.018395203;0.15235;0.13075;0.12805;0.13705;0.013318784;0.1404;0.146225;0.18135;0.155991667;0.022153249;0.1617;0.17365;0.17845;0.171266667;0.008625592;0.15115;0.16555;0.13555;0.15075;0.015003999
Splitting saw;Polishing;0.00775;0.018875;0.027375;0.029375;0.02225;0.033;0.031625;0.018125;0.028625;0.020375;0.02425;0.0253875;0.005360429;0.01445;0.0109;0.01175;0.012366667;0.0018536;0.007925;0.0072;0.0103;0.008475;0.001621535;0.008125;0.0078;0.0106;0.008841667;0.001531407;0.009975;0.00795;0.009475;0.009133333;0.00105485
Sticking;Polishing;0.006325;0.006125;0.0035;0.005375;0.008125;0.00675;0.004375;0.005375;0.00475;0.004875;0.005125;0.0054375;0.001299372;0.00415;0.005;0.00515;0.004766667;0.00053929;0.00405;0.00415;0.003325;0.003841667;0.000450231;0.0063;0.00595;0.00445;0.005566667;0.000982768;0.00645;0.006375;0.004525;0.005783333;0.001090394
Truck (Gloves);Polishing;0.1148;0.0975;0.120125;0.0905;0.135375;0.111375;0.11275;0.121875;0.07925;0.12075;0.154625;0.1144125;0.021835723;0.12545;0.12095;0.12105;0.122483333;0.002569695;0.153375;0.158425;0.151675;0.154491667;0.003510817;0.1485;0.134775;0.1557;0.146325;0.010630704;0.1539;0.1351;0.14585;0.14495;0.009432258
Truck (Wall);Polishing;0.00075;0.002625;0.004;0.003375;0.001625;0.00175;0.002625;0.001375;0.004;0.006875;0.001;0.002925;0.00174722;0.00135;0.0018;0.002;0.001716667;0.000332916;0.001875;0.0009;0.001375;0.001383333;0.000487553;0.000925;0.001775;0.001575;0.001425;0.00044441;0.0014;0.002425;0.000725;0.001516667;0.000855984
Unknown;Polishing;0.207125;0.410625;0.39675;0.397;0.438375;0.4125;0.38675;0.39;0.44225;0.44675;0.357125;0.4078125;0.028353807;0.29795;0.31305;0.31305;0.308016667;0.008717989;0.238725;0.24425;0.225;0.235991667;0.009911809;0.223275;0.206725;0.218225;0.216075;0.008481892;0.22715;0.207425;0.233775;0.222783333;0.013706986
Anal Swab;Evisceration;0.001725;0.0005;0.000875;0.000375;0.00125;0.0005;0.001125;0.0025;0.00225;0.00125;0.000875;0.00115;0.000718795;0.00065;0.0008;0.00085;0.000766667;0.000104083;0.0006;0.000675;0.0009;0.000725;0.000156125;0.001;0.001425;0.0012;0.001208333;0.000212623;0.00065;0.001025;0.00115;0.000941667;0.000260208
Classification (Gloves);Evisceration;0.030575;0.041625;0.033625;0.046375;0.05125;0.046375;0.051625;0.035625;0.06025;0.04725;0.043125;0.0457125;0.007827802;0.03075;0.0376;0.04055;0.0363;0.005027673;0.040425;0.034175;0.0338;0.036133333;0.003721419;0.02455;0.0332;0.039975;0.032575;0.00773147;0.032175;0.041725;0.03455;0.03615;0.004971984
