Position;;all;200_01;200_02;200_03;200_04;200_05;200_06;200_07;200_08;200_09;200_10;mean200;stabw200;500_01;500_02;500_03;mean500;stabw500;1000_01;1000_02;1000_03;mean1000;stabw1000;5000_01;5000_02;5000_03;mean5000;stabw5000;7712_01;7712_02;7712_03;mean7712;stabw7712
Classification (Gloves);Classification;0.039475;0.039625;0.043;0.054875;0.049375;0.052;0.048375;0.0385;0.0535;0.037625;0.03925;0.0456125;0.006734151;0.03205;0.0345;0.03435;0.033633333;0.001373256;0.025625;0.0455;0.024325;0.031816667;0.011867928;0.0303;0.04545;0.04225;0.039333333;0.007985038;0.024;0.052325;0.0372;0.037841667;0.014173398
Classification (Railing);Classification;0.231125;0.130125;0.0955;0.150125;0.08875;0.14925;0.11875;0.120625;0.126375;0.131875;0.118625;0.123;0.019826767;0.1771;0.20715;0.21485;0.1997;0.019947243;0.229675;0.168675;0.1742;0.19085;0.033736729;0.19075;0.188775;0.188725;0.189416667;0.001154971;0.156425;0.21395;0.18405;0.184808333;0.028769997
Cooling chamber (Wall_A);Classification;0.00045;0.001125;0.001625;0.0005;0.002125;0.00075;0.00175;0.00075;0.002;0.002375;0.0015;0.00145;0.000643342;0.0008;0.0003;0.0002;0.000433333;0.000321455;0.000425;0.00065;0.000825;0.000633333;0.00020052;0.0005;0.0007;0.000675;0.000625;0.000108972;0.00055;0.00075;0.000925;0.000741667;0.000187639
Evisceration (Aprons);Classification;0.005275;0.011375;0.013375;0.008375;0.011;0.00925;0.01125;0.013;0.0155;0.0135;0.016625;0.012325;0.002590179;0.00835;0.00905;0.00875;0.008716667;0.000351188;0.003925;0.004575;0.00485;0.00445;0.000475;0.00515;0.007325;0.00515;0.005875;0.001255737;0.0057;0.00445;0.006175;0.005441667;0.000891043
Evisceration (Gloves);Classification;0.019025;0.01875;0.0215;0.01575;0.021875;0.02175;0.016625;0.013625;0.00875;0.018625;0.0195;0.017675;0.004151723;0.02035;0.01265;0.01285;0.015283333;0.004389001;0.00855;0.01235;0.00805;0.00965;0.002351595;0.01635;0.01295;0.01665;0.015316667;0.002055075;0.017;0.01155;0.0145;0.01435;0.002728095
Evisceration (Knifes);Classification;0.0031;0.007375;0.005625;0.004375;0.005375;0.003;0.007125;0.007125;0.002125;0.00575;0.00525;0.0053125;0.001748263;0.0055;0.0038;0.00395;0.004416667;0.000941187;0.0027;0.003275;0.002375;0.002783333;0.00045575;0.0037;0.0037;0.00275;0.003383333;0.000548483;0.00365;0.003;0.003375;0.003341667;0.00032628
Lock (Hands_A);Classification;0.0018;0.005125;0.003625;0.001875;0.0055;0.004;0.005;0.002;0.00275;0.004375;0.004875;0.0039125;0.001315044;0.003;0.0028;0.00215;0.00265;0.00044441;0.002175;0.002475;0.0016;0.002083333;0.000444644;0.00365;0.00325;0.002925;0.003275;0.000363146;0.002625;0.002675;0.004675;0.003325;0.001169402
Lock (Shoes_A);Classification;0.00555;0.003875;0.0045;0.004375;0.005125;0.00575;0.00525;0.008625;0.005125;0.00425;0.005125;0.0052;0.001328376;0.00245;0.0028;0.00255;0.0026;0.000180278;0.004875;0.004275;0.003275;0.004141667;0.00080829;0.0032;0.0056;0.00395;0.00425;0.001227803;0.004775;0.0048;0.004625;0.004733333;9.46485E-05
Polishing tunnel (Nozzles);Classification;0.031325;0.029625;0.032125;0.028125;0.037;0.02625;0.02275;0.024625;0.037;0.028;0.034125;0.0299625;0.004974257;0.02975;0.0306;0.03275;0.031033333;0.001546232;0.023175;0.017525;0.023025;0.021241667;0.003219601;0.030075;0.021875;0.022725;0.024891667;0.004508973;0.017325;0.028925;0.024925;0.023725;0.005892368
Polishing tunnel (Water);Classification;0.126475;0.085;0.091;0.10925;0.075375;0.085875;0.096875;0.084125;0.09925;0.075375;0.06775;0.0869875;0.012530026;0.1338;0.09605;0.09965;0.109833333;0.020833647;0.095475;0.10605;0.1193;0.106941667;0.011937502;0.123575;0.119375;0.1189;0.120616667;0.002572977;0.10915;0.120925;0.10855;0.112875;0.006977956
